Collecting...
Analyzing...
Found 785 different typed gadgets
Collected gadgets saved in ls64.collected
Verifying...
Found 660 different verified gadgets
Verified gadgets saved in ls64.verified
         44239686 function calls (44001934 primitive calls) in 50.960 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       85    0.002    0.000    0.004    0.000 Gadget.py:117(__str__)
        1    0.000    0.000    0.004    0.004 edge_augmentation.py:23(<module>)
        1    0.004    0.004    0.004    0.004 hashlib.py:56(<module>)
       29    0.000    0.000    0.004    0.000 decorators.py:95(open_file)
       13    0.000    0.000    0.004    0.000 ccall.py:27(calc_zerobit)
     2450    0.003    0.000    0.004    0.000 {method 'decode' of 'str' objects}
      354    0.002    0.000    0.004    0.000 lru.py:44(__update)
       22    0.000    0.000    0.004    0.000 z3.py:1172(If)
      581    0.000    0.000    0.004    0.000 api.py:819(<lambda>)
        1    0.000    0.000    0.004    0.004 version.py:191(Version)
     2256    0.003    0.000    0.004    0.000 backend_concrete.py:110(_to_primitive)
        5    0.000    0.000    0.004    0.001 puti.py:7(_execute)
     2673    0.003    0.000    0.004    0.000 composite_frontend.py:57(_solver_list)
      123    0.001    0.000    0.004    0.000 memory.py:125(write_bytes)
        2    0.000    0.000    0.004    0.002 _tqdm.py:598(__init__)
       74    0.000    0.000    0.004    0.000 z3.py:3607(BitVec)
        2    0.001    0.000    0.004    0.002 engine.py:1(<module>)
     2729    0.003    0.000    0.004    0.000 c_parser.py:182(_is_type_in_scope)
      581    0.003    0.000    0.004    0.000 fixes.py:6(postprocess)
      373    0.001    0.000    0.004    0.000 solver.py:621(eval_one)
     2198    0.003    0.000    0.004    0.000 pickle.py:917(load_int)
      694    0.001    0.000    0.004    0.000 z3.py:686(kind)
        9    0.001    0.000    0.004    0.000 cparser.py:195(_common_type_names)
        1    0.004    0.004    0.004    0.004 shutil.py:5(<module>)
        1    0.002    0.002    0.004    0.004 collections.py:11(<module>)
        1    0.000    0.000    0.004    0.004 iterators.py:33(<module>)
      389    0.001    0.000    0.004    0.000 c_parser.py:769(p_type_specifier_no_typeid)
        1    0.002    0.002    0.004    0.004 graph.py:19(<module>)
        1    0.000    0.000    0.004    0.004 metaelf.py:302(extract_soname)
        1    0.003    0.003    0.004    0.004 subprocess.py:31(<module>)
     1041    0.003    0.000    0.004    0.000 z3core.py:2797(Z3_get_decl_kind)
      710    0.003    0.000    0.004    0.000 posix.py:62(__init__)
     7726    0.003    0.000    0.004    0.000 bool.py:50(BoolV)
     3972    0.002    0.000    0.004    0.000 sim_state.py:201(memory)
      164    0.001    0.000    0.004    0.000 c_parser.py:1188(p_parameter_declaration_1)
      929    0.003    0.000    0.004    0.000 threading.py:187(release)
      119    0.001    0.000    0.004    0.000 memory.py:188(read_addr_at)
        1    0.004    0.004    0.004    0.004 socket.py:45(<module>)
        4    0.000    0.000    0.004    0.001 forking.py:116(__init__)
      512    0.001    0.000    0.004    0.000 core.py:1078(_sizeof)
     2401    0.003    0.000    0.004    0.000 bv.py:239(__eq__)
        1    0.003    0.003    0.004    0.004 __init__.py:44(<module>)
     1792    0.004    0.000    0.004    0.000 stmt.py:90(__str__)
        1    0.001    0.001    0.004    0.004 __init__.py:88(<module>)
       18    0.000    0.000    0.004    0.000 elffile.py:257(_make_segment)
      354    0.001    0.000    0.004    0.000 history.py:439(make_child)
        4    0.000    0.000    0.004    0.001 bool.py:155(ite_cases)
      694    0.003    0.000    0.004    0.000 z3core.py:2769(Z3_func_decl_to_ast)
     1810    0.002    0.000    0.004    0.000 pickle.py:1191(load_appends)
     1041    0.003    0.000    0.004    0.000 z3core.py:2790(Z3_get_decl_name)
        1    0.000    0.000    0.004    0.004 unicorn_engine.py:176(_load_native)
      581    0.004    0.000    0.004    0.000 {method 'write_variable' of '_cffi_backend.Library' objects}
        2    0.000    0.000    0.004    0.002 dynamic.py:176(__init__)
     4961    0.004    0.000    0.004    0.000 memory_object.py:32(last_addr)
      173    0.001    0.000    0.004    0.000 model_cache_mixin.py:200(_model_hook)
    13836    0.004    0.000    0.004    0.000 const.py:336(tag_to_const_class)
      114    0.000    0.000    0.004    0.000 block.py:281(all_constants)
      130    0.001    0.000    0.004    0.000 __init__.py:2038(<genexpr>)
    19521    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
     3858    0.002    0.000    0.004    0.000 pickle.py:1170(load_put)
       28    0.000    0.000    0.004    0.000 posixpath.py:372(realpath)
       28    0.001    0.000    0.004    0.000 enum.py:156(__new__)
     5300    0.004    0.000    0.004    0.000 arch.py:283(translate_register_name)
      784    0.003    0.000    0.004    0.000 z3.py:3050(cast)
        1    0.000    0.000    0.004    0.004 binary.py:19(<module>)
      709    0.001    0.000    0.004    0.000 view.py:70(copy)
        1    0.003    0.003    0.004    0.004 mips.py:3(<module>)
        2    0.000    0.000    0.004    0.002 loader.py:834(_static_backend)
      171    0.001    0.000    0.004    0.000 c_parser.py:1200(p_parameter_declaration_2)
     1024    0.001    0.000    0.003    0.000 memory.py:89(__setitem__)
  163/137    0.000    0.000    0.003    0.000 elffile.py:285(_make_section)
        1    0.000    0.000    0.003    0.003 lex.py:493(_form_master_re)
       23    0.000    0.000    0.003    0.000 z3.py:1028(_coerce_expr_list)
        2    0.003    0.002    0.003    0.002 _utils.py:194(_environ_cols_linux)
     1041    0.003    0.000    0.003    0.000 z3core.py:2580(Z3_get_symbol_kind)
      353    0.003    0.000    0.003    0.000 successors.py:53(__repr__)
     1714    0.003    0.000    0.003    0.000 Gadget.py:21(__init__)
     1822    0.002    0.000    0.003    0.000 plyparser.py:41(optrule)
      900    0.003    0.000    0.003    0.000 constrained_frontend.py:17(_blank_copy)
      265    0.001    0.000    0.003    0.000 z3core.py:1429(Z3_mk_string_symbol)
     1906    0.003    0.000    0.003    0.000 __init__.py:23(find_module)
     1040    0.001    0.000    0.003    0.000 expr.py:477(result_type)
        1    0.001    0.001    0.003    0.003 __init__.py:466(get_build_platform)
      162    0.001    0.000    0.003    0.000 z3.py:3695(Extract)
       17    0.000    0.000    0.003    0.000 bv.py:114(concat)
        2    0.002    0.001    0.003    0.002 __init__.py:17(<module>)
        1    0.001    0.001    0.003    0.003 ctypes_helper.py:20(<module>)
     1562    0.002    0.000    0.003    0.000 imark.py:4(_execute)
      191    0.003    0.000    0.003    0.000 z3core.py:4020(Z3_mk_solver)
      710    0.003    0.000    0.003    0.000 sim_state.py:195(__getattr__)
      867    0.003    0.000    0.003    0.000 z3core.py:3285(Z3_model_get_num_consts)
      318    0.003    0.000    0.003    0.000 {posix.stat}
        1    0.001    0.001    0.003    0.003 threading.py:2(<module>)
      543    0.001    0.000    0.003    0.000 core.py:667(_sizeof)
     2417    0.003    0.000    0.003    0.000 irop.py:378(extend_size)
        9    0.000    0.000    0.003    0.000 bv.py:154(raw_to_fp)
        1    0.000    0.000    0.003    0.003 subgraph_alg.py:4(<module>)
      465    0.002    0.000    0.003    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.003    0.003 decoder.py:2(<module>)
 1345/696    0.001    0.000    0.003    0.000 model.py:81(__hash__)
      191    0.002    0.000    0.003    0.000 z3.py:4723(__init__)
     2122    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
      719    0.003    0.000    0.003    0.000 __init__.py:383(__getitem__)
      935    0.001    0.000    0.003    0.000 api.py:818(<lambda>)
     2394    0.003    0.000    0.003    0.000 collections.py:71(__setitem__)
      523    0.001    0.000    0.003    0.000 expr.py:458(__str__)
        1    0.000    0.000    0.003    0.003 connectivity.py:4(<module>)
       25    0.000    0.000    0.003    0.000 pyparsing.py:1227(setParseAction)
     1620    0.003    0.000    0.003    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        2    0.000    0.000    0.003    0.002 elf.py:133(is_compatible)
        1    0.001    0.001    0.003    0.003 geometric.py:16(<module>)
      219    0.000    0.000    0.003    0.000 __init__.py:723(format)
     3511    0.003    0.000    0.003    0.000 solver.py:258(_solver)
     2393    0.002    0.000    0.003    0.000 pickle.py:943(load_long)
        1    0.000    0.000    0.003    0.003 _main.py:1(<module>)
        1    0.001    0.001    0.003    0.003 operations.py:1(<module>)
        1    0.000    0.000    0.003    0.003 reassembler.py:2(<module>)
        1    0.001    0.001    0.003    0.003 mips_elf_fast.py:2(<module>)
     1060    0.000    0.000    0.003    0.000 memory.py:95(__contains__)
        2    0.001    0.000    0.003    0.002 mach_o.py:19(<module>)
     6352    0.003    0.000    0.003    0.000 collections.py:90(__iter__)
       27    0.000    0.000    0.003    0.000 pyparsing.py:1016(_trim_arity)
      936    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.003    0.003 algebraicconnectivity.py:9(<module>)
     1604    0.003    0.000    0.003    0.000 weakref.py:330(__init__)
     1298    0.001    0.000    0.003    0.000 memory.py:71(__getitem__)
        4    0.000    0.000    0.003    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.003    0.003 bridges.py:10(<module>)
      222    0.000    0.000    0.003    0.000 version.py:74(__init__)
    30/28    0.000    0.000    0.003    0.000 posixpath.py:380(_joinrealpath)
      709    0.001    0.000    0.003    0.000 posix.py:414(<dictcomp>)
      499    0.001    0.000    0.003    0.000 collections.py:528(update)
       12    0.000    0.000    0.003    0.000 abstract.py:30(__call__)
     4120    0.002    0.000    0.003    0.000 pickle.py:876(marker)
     4457    0.002    0.000    0.003    0.000 bv.py:428(Or)
        1    0.003    0.003    0.003    0.003 expat.py:1(<module>)
        1    0.000    0.000    0.003    0.003 glibc.py:1(<module>)
     1594    0.003    0.000    0.003    0.000 {_struct.unpack}
      347    0.003    0.000    0.003    0.000 z3core.py:1558(Z3_mk_app)
      369    0.001    0.000    0.003    0.000 pickle.py:967(load_string)
      354    0.002    0.000    0.003    0.000 cache.py:46(__setitem__)
        2    0.001    0.000    0.003    0.001 __init__.py:9(<module>)
      710    0.001    0.000    0.003    0.000 view.py:8(__init__)
      128    0.000    0.000    0.003    0.000 expr.py:590(_from_c)
       26    0.000    0.000    0.003    0.000 traceback.py:281(extract_stack)
        2    0.001    0.000    0.003    0.001 covering.py:7(<module>)
      205    0.001    0.000    0.003    0.000 model.py:583(global_cache)
     1595    0.002    0.000    0.003    0.000 c_parser.py:351(_add_declaration_specifier)
      191    0.001    0.000    0.003    0.000 z3.py:4659(__init__)
     5946    0.003    0.000    0.003    0.000 gadget.py:85(_lines)
    11118    0.003    0.000    0.003    0.000 __init__.py:776(name)
     6061    0.002    0.000    0.003    0.000 yacc.py:254(__len__)
      680    0.002    0.000    0.003    0.000 z3core.py:2923(Z3_is_eq_ast)
        1    0.000    0.000    0.003    0.003 cycles.py:16(<module>)
        1    0.001    0.001    0.003    0.003 core.py:1(<module>)
     1632    0.001    0.000    0.003    0.000 __init__.py:2052(dist_factory)
      219    0.001    0.000    0.003    0.000 __init__.py:452(format)
      716    0.002    0.000    0.003    0.000 z3core.py:2965(Z3_get_ast_kind)
        1    0.001    0.001    0.003    0.003 decorators.py:1(<module>)
        2    0.001    0.000    0.003    0.001 utils.py:1(<module>)
      222    0.001    0.000    0.003    0.000 version.py:131(_legacy_cmpkey)
      368    0.001    0.000    0.003    0.000 bv.py:168(__and__)
      695    0.002    0.000    0.003    0.000 z3printer.py:381(to_format)
        9    0.003    0.000    0.003    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
    59/58    0.000    0.000    0.003    0.000 model.py:242(build_backend_type)
        1    0.003    0.003    0.003    0.003 dbapi2.py:24(<module>)
       20    0.000    0.000    0.003    0.000 __init__.py:2086(safe_listdir)
    71/57    0.001    0.000    0.003    0.000 operations.py:141(concat_simplifier)
    10348    0.003    0.000    0.003    0.000 {built-in method from_iterable}
      452    0.001    0.000    0.003    0.000 _tqdm.py:137(format_interval)
        1    0.002    0.002    0.003    0.003 scanner.py:2(<module>)
      935    0.003    0.000    0.003    0.000 {method 'read_variable' of '_cffi_backend.Library' objects}
      531    0.001    0.000    0.003    0.000 cparser.py:512(_get_type_pointer)
     1165    0.002    0.000    0.003    0.000 pickle.py:999(load_tuple)
      219    0.002    0.000    0.003    0.000 __init__.py:1233(findCaller)
        1    0.001    0.001    0.003    0.003 successors.py:1(<module>)
     5819    0.003    0.000    0.003    0.000 expr.py:685(_request_op_type_from_cache)
    67/30    0.000    0.000    0.003    0.000 model.py:393(get_cached_btype)
    10515    0.003    0.000    0.003    0.000 base.py:224(<genexpr>)
      786    0.002    0.000    0.003    0.000 pickle.py:1033(load_dict)
      591    0.001    0.000    0.003    0.000 autoimport.py:46(filter_module)
        3    0.002    0.001    0.003    0.001 api.py:847(update_accessors)
        1    0.001    0.001    0.003    0.003 plistlib.py:51(<module>)
     6017    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
      709    0.001    0.000    0.002    0.000 composite_frontend.py:67(variables)
       19    0.001    0.000    0.002    0.000 z3.py:3650(Concat)
        1    0.000    0.000    0.002    0.002 composite_frontend.py:1(<module>)
     1259    0.002    0.000    0.002    0.000 gadget.py:103(_bytes)
        1    0.001    0.001    0.002    0.002 reassembler.py:81(fill_reg_map)
     5158    0.002    0.000    0.002    0.000 {_cffi_backend.newp}
        1    0.001    0.001    0.002    0.002 sysconfig.py:527(get_platform)
     4678    0.002    0.000    0.002    0.000 expr.py:568(result_type)
        1    0.000    0.000    0.002    0.002 cluster.py:9(<module>)
      373    0.001    0.000    0.002    0.000 solver.py:673(eval_exact)
     9946    0.002    0.000    0.002    0.000 container.py:40(__setitem__)
      694    0.001    0.000    0.002    0.000 z3printer.py:133(u)
       20    0.000    0.000    0.002    0.000 backend_z3.py:808(_op_add)
        1    0.000    0.000    0.002    0.002 ccall.py:250(pc_make_rdata_if_necessary)
      720    0.002    0.000    0.002    0.000 uuid.py:199(__str__)
        1    0.000    0.000    0.002    0.002 ccall.py:1693(_concat_flags)
        1    0.000    0.000    0.002    0.002 api.py:132(dlopen)
      438    0.001    0.000    0.002    0.000 c_parser.py:713(p_declaration_specifiers_no_type_2)
        1    0.000    0.000    0.002    0.002 api.py:800(_make_ffi_library)
      716    0.002    0.000    0.002    0.000 z3core.py:2629(Z3_get_sort_kind)
      944    0.002    0.000    0.002    0.000 _weakrefset.py:36(__init__)
      444    0.001    0.000    0.002    0.000 c_parser.py:529(p_translation_unit_2)
       56    0.000    0.000    0.002    0.000 __init__.py:3174(<genexpr>)
     4987    0.002    0.000    0.002    0.000 base.py:34(__init__)
        1    0.000    0.000    0.002    0.002 tournament.py:29(<module>)
        3    0.000    0.000    0.002    0.001 elf.py:103(<genexpr>)
        1    0.000    0.000    0.002    0.002 lex.py:832(validate_module)
      523    0.001    0.000    0.002    0.000 expr.py:461(child_expressions)
     1156    0.001    0.000    0.002    0.000 paged_memory.py:26(__init__)
        1    0.000    0.000    0.002    0.002 util.py:5(<module>)
        2    0.000    0.000    0.002    0.001 yacc.py:2952(get_all)
        2    0.001    0.000    0.002    0.001 yacc.py:3127(get_pfunctions)
        1    0.000    0.000    0.002    0.002 api.py:774(_load_backend_lib)
      694    0.001    0.000    0.002    0.000 z3printer.py:404(_len)
       55    0.000    0.000    0.002    0.000 __init__.py:2692(activate)
       20    0.000    0.000    0.002    0.000 z3.py:3102(__add__)
        8    0.000    0.000    0.002    0.000 dirty.py:12(_execute)
     2092    0.002    0.000    0.002    0.000 expr.py:453(__init__)
      785    0.001    0.000    0.002    0.000 weakref.py:368(__setitem__)
        1    0.001    0.001    0.002    0.002 stmt.py:1(<module>)
       39    0.001    0.000    0.002    0.000 history.py:155(filter_actions)
     3333    0.002    0.000    0.002    0.000 const.py:129(__str__)
      935    0.001    0.000    0.002    0.000 block.py:231(direct_next)
        1    0.001    0.001    0.002    0.002 valueset.py:1(<module>)
     3813    0.001    0.000    0.002    0.000 sre_parse.py:150(append)
        1    0.002    0.002    0.002    0.002 {_cffi_backend.load_library}
        1    0.000    0.000    0.002    0.002 _version.py:2(<module>)
      438    0.001    0.000    0.002    0.000 __init__.py:703(acquire)
        2    0.001    0.000    0.002    0.001 fp.py:1(<module>)
      974    0.001    0.000    0.002    0.000 z3.py:119(_get_args)
     2149    0.001    0.000    0.002    0.000 pickle.py:1184(load_append)
     1418    0.001    0.000    0.002    0.000 composite_frontend.py:376(finalize)
        1    0.000    0.000    0.002    0.002 framework.py:3(<module>)
       34    0.000    0.000    0.002    0.000 __init__.py:330(__call__)
      287    0.002    0.000    0.002    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.001    0.001    0.002    0.002 gml.py:41(<module>)
      239    0.001    0.000    0.002    0.000 __init__.py:1071(_fixupParents)
    14180    0.002    0.000    0.002    0.000 __init__.py:65(copy)
     1056    0.001    0.000    0.002    0.000 c_parser.py:785(p_type_specifier)
    10515    0.002    0.000    0.002    0.000 base.py:229(<genexpr>)
        1    0.000    0.000    0.002    0.002 dylib.py:3(<module>)
      149    0.000    0.000    0.002    0.000 genericpath.py:46(isdir)
        4    0.002    0.001    0.002    0.001 errors.py:1(<module>)
      494    0.001    0.000    0.002    0.000 c_parser.py:749(p_declaration_specifiers_6)
       14    0.000    0.000    0.002    0.000 decorators.py:237(nodes_or_number)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
        1    0.000    0.000    0.002    0.002 arch_arm.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sparse6.py:23(<module>)
     3963    0.001    0.000    0.002    0.000 yacc.py:257(lineno)
       71    0.000    0.000    0.002    0.000 __init__.py:2687(_get_metadata)
        2    0.000    0.000    0.002    0.001 yacc.py:286(__init__)
       17    0.001    0.000    0.002    0.000 cparser.py:834(_build_enum_type)
       97    0.000    0.000    0.002    0.000 z3.py:3577(BitVecSort)
        2    0.001    0.000    0.002    0.001 yacc.py:313(set_defaulted_states)
        4    0.000    0.000    0.002    0.001 __init__.py:422(_create_)
        1    0.000    0.000    0.002    0.002 current_flow_closeness.py:9(<module>)
      335    0.001    0.000    0.002    0.000 c_parser.py:1168(p_parameter_list)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4863(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4834(_makeTags)
     4591    0.002    0.000    0.002    0.000 {_weakref._remove_dead_weakref}
        1    0.000    0.000    0.002    0.002 decorator.py:33(<module>)
      347    0.001    0.000    0.002    0.000 z3.py:655(arity)
        6    0.001    0.000    0.002    0.000 __init__.py:153(__new__)
      206    0.000    0.000    0.002    0.000 posixpath.py:132(islink)
      347    0.002    0.000    0.002    0.000 z3core.py:3056(Z3_get_numeral_uint64)
     1532    0.001    0.000    0.002    0.000 {next}
        1    0.000    0.000    0.002    0.002 dag.py:20(<module>)
        1    0.000    0.000    0.002    0.002 x86_pe_iat.py:1(<module>)
     3007    0.001    0.000    0.002    0.000 z3.py:1039(is_expr)
      845    0.000    0.000    0.002    0.000 __init__.py:2310(_normalize_cached)
      722    0.001    0.000    0.002    0.000 __init__.py:479(mnemonic)
        1    0.000    0.000    0.002    0.002 laplacianmatrix.py:2(<module>)
       13    0.000    0.000    0.002    0.000 backend_z3.py:823(_op_and)
       76    0.000    0.000    0.002    0.000 __init__.py:95(get_stub)
      112    0.001    0.000    0.002    0.000 externs.py:24(make_extern)
      303    0.002    0.000    0.002    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.002    0.002 elf.py:931(_parseSymbols)
      347    0.002    0.000    0.002    0.000 z3core.py:3292(Z3_model_get_const_decl)
     4612    0.002    0.000    0.002    0.000 sim_state.py:798(_adjust_condition)
        1    0.000    0.000    0.002    0.002 projection.py:11(<module>)
      288    0.001    0.000    0.002    0.000 z3core.py:25(_to_ascii)
      429    0.002    0.000    0.002    0.000 base.py:53(_make_name)
      932    0.001    0.000    0.002    0.000 sre_compile.py:428(_simple)
      512    0.000    0.000    0.002    0.000 binary.py:92(encode_bin)
       56    0.001    0.000    0.002    0.000 Gadget.py:87(__str__)
      137    0.001    0.000    0.002    0.000 symbol.py:12(__init__)
      191    0.001    0.000    0.002    0.000 full_frontend.py:21(_blank_copy)
       32    0.000    0.000    0.002    0.000 stmt.py:461(_from_c)
        1    0.000    0.000    0.002    0.002 elf.py:939(__parseSymbolEntriesForSection)
        1    0.001    0.001    0.002    0.002 Arch.py:3(<module>)
        1    0.002    0.002    0.002    0.002 misc.py:37(<module>)
     1220    0.001    0.000    0.002    0.000 stmt.py:69(_from_c)
     2324    0.002    0.000    0.002    0.000 block.py:419(_set_attributes)
       19    0.000    0.000    0.002    0.000 z3.py:3194(__and__)
      474    0.001    0.000    0.002    0.000 enum.py:158(update)
     2518    0.001    0.000    0.002    0.000 gadget.py:124(imageBase)
     4626    0.001    0.000    0.002    0.000 sre_parse.py:138(__len__)
       16    0.000    0.000    0.002    0.000 __init__.py:2305(normalize_path)
      410    0.002    0.000    0.002    0.000 z3core.py:1443(Z3_mk_bool_sort)
      520    0.001    0.000    0.002    0.000 z3core.py:3299(Z3_model_get_num_funcs)
        1    0.001    0.001    0.002    0.002 spawn.py:7(<module>)
      469    0.001    0.000    0.002    0.000 c_parser.py:809(p_init_declarator)
      396    0.001    0.000    0.002    0.000 _weakrefset.py:58(__iter__)
      354    0.001    0.000    0.002    0.000 unicorn.py:43(_check)
        1    0.000    0.000    0.002    0.002 convert_matrix.py:28(<module>)
     1879    0.001    0.000    0.002    0.000 model.py:68(_get_items)
      173    0.002    0.000    0.002    0.000 z3core.py:4159(Z3_solver_get_model)
     4120    0.001    0.000    0.002    0.000 pickle.py:1256(load_mark)
     1644    0.001    0.000    0.002    0.000 c_lexer.py:326(t_NEWLINE)
      198    0.002    0.000    0.002    0.000 z3core.py:1607(Z3_mk_distinct)
        1    0.001    0.001    0.002    0.002 debug.py:3(<module>)
        1    0.000    0.000    0.002    0.002 classic.py:20(<module>)
        1    0.001    0.001    0.002    0.002 io.py:34(<module>)
     1259    0.001    0.000    0.002    0.000 __init__.py:259(copy_ctypes_list)
        2    0.002    0.001    0.002    0.001 structs.py:10(<module>)
        8    0.000    0.000    0.002    0.000 __init__.py:67(add_alias)
      114    0.000    0.000    0.002    0.000 block.py:237(expressions)
     1416    0.001    0.000    0.002    0.000 stmt.py:109(__init__)
     2801    0.002    0.000    0.002    0.000 solver.py:413(_adjust_constraint_list)
       83    0.000    0.000    0.002    0.000 pyparsing.py:1780(__add__)
        3    0.001    0.000    0.002    0.001 time.py:1(<module>)
      191    0.001    0.000    0.002    0.000 z3core.py:1344(Z3_params_set_uint)
        2    0.000    0.000    0.002    0.001 pyparsing.py:4722(srange)
        1    0.001    0.001    0.002    0.002 elf.py:908(_parseSections)
      260    0.000    0.000    0.002    0.000 __init__.py:205(_acquireLock)
       51    0.000    0.000    0.002    0.000 z3.py:3091(size)
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
      2/1    0.000    0.000    0.002    0.002 sysconfig.py:448(get_config_vars)
        1    0.001    0.001    0.002    0.002 api.py:1(<module>)
      134    0.001    0.000    0.002    0.000 pyparsing.py:3219(__init__)
        1    0.001    0.001    0.002    0.002 x86.py:3(<module>)
        1    0.001    0.001    0.002    0.002 six.py:1(<module>)
        1    0.001    0.001    0.002    0.002 variable_manager.py:2(<module>)
        3    0.002    0.001    0.002    0.001 decimal.py:3782(__init__)
     8428    0.002    0.000    0.002    0.000 base.py:168(__init__)
     1886    0.001    0.000    0.002    0.000 copy.py:267(_keep_alive)
       53    0.000    0.000    0.002    0.000 linecache.py:33(getlines)
     1676    0.001    0.000    0.002    0.000 core.py:670(<genexpr>)
      438    0.000    0.000    0.002    0.000 __init__.py:710(release)
    12947    0.002    0.000    0.002    0.000 z3types.py:39(from_param)
     8800    0.002    0.000    0.002    0.000 bv.py:164(raw_to_bv)
        1    0.002    0.002    0.002    0.002 heapq.py:31(<module>)
       17    0.000    0.000    0.002    0.000 z3.py:836(__eq__)
        4    0.000    0.000    0.002    0.000 __init__.py:2885(_reload_version)
       10    0.000    0.000    0.002    0.000 irop.py:584(_op_generic_CmpNE)
        2    0.000    0.000    0.002    0.001 linecache.py:72(updatecache)
      173    0.000    0.000    0.002    0.000 z3.py:5530(__init__)
      240    0.001    0.000    0.002    0.000 __init__.py:1127(__init__)
      441    0.001    0.000    0.002    0.000 posixpath.py:97(splitext)
       10    0.000    0.000    0.002    0.000 irop.py:562(generic_compare)
        2    0.000    0.000    0.002    0.001 pyparsing.py:1571(parseString)
        4    0.000    0.000    0.002    0.000 __init__.py:2513(_version_from_file)
        1    0.000    0.000    0.002    0.002 lowest_common_ancestors.py:12(<module>)
        1    0.000    0.000    0.002    0.002 chains.py:10(<module>)
       23    0.000    0.000    0.002    0.000 backend_z3.py:198(BVV)
        1    0.000    0.000    0.002    0.002 arch_amd64.py:1(<module>)
      206    0.002    0.000    0.002    0.000 {posix.lstat}
      469    0.001    0.000    0.002    0.000 c_parser.py:800(p_init_declarator_list)
     1205    0.001    0.000    0.002    0.000 load.py:40(reg_deps)
      295    0.000    0.000    0.002    0.000 c_parser.py:744(p_declaration_specifiers_5)
        1    0.000    0.000    0.002    0.002 edge_kcomponents.py:19(<module>)
     4987    0.002    0.000    0.002    0.000 base.py:228(<genexpr>)
     1326    0.001    0.000    0.002    0.000 z3.py:56(_is_int)
      220    0.001    0.000    0.002    0.000 version.py:343(_cmpkey)
      768    0.000    0.000    0.001    0.000 adapters.py:55(_decode)
      354    0.001    0.000    0.001    0.000 failure.py:11(_check)
        1    0.000    0.000    0.001    0.001 strongly_connected.py:13(<module>)
        1    0.001    0.001    0.001    0.001 semantic.py:19(<module>)
     7311    0.001    0.000    0.001    0.000 {intern}
      173    0.001    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        2    0.001    0.001    0.001    0.001 {method 'readlines' of 'file' objects}
       23    0.000    0.000    0.001    0.000 z3.py:1022(_reduce)
      694    0.001    0.000    0.001    0.000 {_codecs.unicode_escape_decode}
        1    0.001    0.001    0.001    0.001 fancy_getopt.py:9(<module>)
      581    0.001    0.000    0.001    0.000 scratch.py:76(pop_priv)
       52    0.000    0.000    0.001    0.000 linecache.py:13(getline)
        1    0.000    0.000    0.001    0.001 linux.py:36(configure_project)
        1    0.001    0.001    0.001    0.001 expr.py:1(<module>)
      581    0.000    0.000    0.001    0.000 block.py:399(_is_defaultexit_direct_jump)
      456    0.000    0.000    0.001    0.000 block.py:286(<genexpr>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3349(__init__)
        1    0.001    0.001    0.001    0.001 ElementTree.py:59(<module>)
       35    0.000    0.000    0.001    0.000 backend_z3.py:49(raw_caller)
        1    0.000    0.000    0.001    0.001 kernel32.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ssl.py:89(<module>)
      932    0.001    0.000    0.001    0.000 version.py:114(_parse_version_parts)
       23    0.000    0.000    0.001    0.000 z3.py:3591(BitVecVal)
     1029    0.000    0.000    0.001    0.000 core.py:315(_parse)
        1    0.000    0.000    0.001    0.001 msvcr.py:2(<module>)
        7    0.000    0.000    0.001    0.000 arch_mips32.py:18(__init__)
     1445    0.001    0.000    0.001    0.000 pickle.py:432(save_none)
        1    0.000    0.000    0.001    0.001 backend_z3.py:1(<module>)
       90    0.000    0.000    0.001    0.000 macros.py:422(Enum)
     1430    0.001    0.000    0.001    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.001    0.001    0.001    0.001 __init__.py:40(<module>)
        1    0.000    0.000    0.001    0.001 reportviews.py:94(<module>)
        1    0.001    0.001    0.001    0.001 systemz.py:3(<module>)
        1    0.000    0.000    0.001    0.001 idabin.py:1(<module>)
      710    0.001    0.000    0.001    0.000 solver.py:99(_concrete_bool)
      734    0.001    0.000    0.001    0.000 c_parser.py:1011(p_declarator)
      173    0.001    0.000    0.001    0.000 model_cache_mixin.py:10(__init__)
